customer_id,gender,senior_citizen,tenure,monthly_charges,total_charges,contract_type,internet_service,num_support_calls,payment_method,has_partner,has_dependents,churned
PT-0001,Male,0,36,42.04,1349.78,Month-to-month,Fiber optic,0,Electronic check,0,0,1
PT-0002,Male,1,26,84.44,2328.04,Month-to-month,Fiber optic,1,Bank transfer,0,0,0
PT-0003,Female,0,20,39.38,849.86,Month-to-month,Fiber optic,0,Bank transfer,0,1,0
PT-0004,Male,0,11,69.68,842.22,One year,No,3,Mailed check,0,0,0
PT-0005,Female,0,30,97.98,2833.69,Month-to-month,No,2,Bank transfer,0,1,0
PT-0006,Male,0,60,54.15,3726.14,One year,Fiber optic,3,Bank transfer,0,0,0
PT-0007,Female,0,35,25.96,1021.21,One year,Fiber optic,2,Credit card,0,0,0
PT-0008,Female,1,55,100.8,5376.68,Month-to-month,No,4,Credit card,0,0,0
PT-0009,Male,0,55,73.68,3912.31,One year,Fiber optic,1,Electronic check,0,1,0
PT-0010,Female,0,15,46.42,624.89,Month-to-month,Fiber optic,4,Bank transfer,0,1,0
PT-0011,Female,1,26,33.76,946.89,One year,Fiber optic,1,Bank transfer,1,0,0
PT-0012,Female,0,31,25.21,870.14,Two year,DSL,1,Credit card,0,1,0
PT-0013,Male,0,71,34.86,2495.61,One year,No,5,Mailed check,1,0,0
PT-0014,Female,0,67,60.63,3754.99,Month-to-month,DSL,0,Mailed check,0,0,1
PT-0015,Male,0,9,101.49,1011.96,Month-to-month,DSL,1,Mailed check,1,0,0
PT-0016,Female,0,13,28.72,365.64,Month-to-month,Fiber optic,0,Electronic check,0,0,0
PT-0017,Female,0,32,37.24,1204.65,Month-to-month,DSL,0,Electronic check,1,1,1
PT-0018,Male,0,31,34.97,1079.4,Month-to-month,Fiber optic,2,Electronic check,0,0,1
PT-0019,Female,0,59,45.67,2853.45,One year,Fiber optic,0,Mailed check,1,0,0
PT-0020,Male,0,8,24.51,194.71,Two year,Fiber optic,0,Electronic check,0,0,1
PT-0021,Male,0,52,30.79,1788.54,Month-to-month,Fiber optic,0,Bank transfer,1,0,0
